HVX start time, HVX end time, total active time(ms), total pcycles(Mcycles),total Mpackets, HVX Mpackets, Total DDR read(MB), Total DDR write(MB)
0:14:4:910, 0:14:4:916, 5.00,5.81,6.01,5.32,22.50,4.01
0:14:4:917, 0:14:4:930, 7.00,6.88,6.21,5.38,24.13,5.09
0:14:4:931, 0:14:4:942, 7.00,6.76,6.22,5.38,24.13,5.08
0:14:4:943, 0:14:4:954, 7.00,6.77,6.21,5.38,24.12,5.08
0:14:4:957, 0:14:4:959, 2.00,1.26,0.21,0.05,1.50,0.92
0:14:4:961, 0:14:4:978, 11.00,12.65,12.23,10.70,46.60,9.10
0:14:4:981, 0:14:5:6, 13.00,13.78,12.44,10.76,48.26,10.17
0:14:5:7, 0:14:5:19, 7.00,6.85,6.23,5.38,24.12,5.09
0:14:5:20, 0:14:5:32, 7.00,6.87,6.22,5.38,24.13,5.08
0:14:5:33, 0:14:5:46, 7.00,6.91,6.23,5.38,24.15,5.10
0:14:5:47, 0:14:5:59, 7.00,6.86,6.23,5.38,24.13,5.10
0:14:5:60, 0:14:5:72, 7.00,6.80,6.23,5.38,24.11,5.08
0:14:5:73, 0:14:5:83, 7.00,7.23,6.26,5.38,24.24,5.10
0:14:5:84, 0:14:5:108, 13.00,13.64,12.43,10.76,48.24,10.21
0:14:5:109, 0:14:5:113, 2.00,1.00,0.19,0.05,1.38,0.91
0:14:5:114, 0:14:5:134, 11.00,12.70,12.23,10.70,46.64,9.10
0:14:5:135, 0:14:5:148, 7.00,6.95,6.23,5.38,24.14,5.10
0:14:5:149, 0:14:5:162, 7.00,6.94,6.24,5.38,24.12,5.09
0:14:5:163, 0:14:5:175, 7.00,6.87,6.23,5.38,24.12,5.08
0:14:5:176, 0:14:5:187, 7.00,6.81,6.23,5.38,24.14,5.09
0:14:5:188, 0:14:5:199, 7.00,6.91,6.24,5.38,24.13,5.10
0:14:5:204, 0:14:5:210, 6.00,6.89,6.21,5.37,24.04,4.96
0:14:5:211, 0:14:5:221, 7.00,6.81,6.21,5.38,24.13,5.09
0:14:5:222, 0:14:5:235, 7.00,6.84,6.22,5.38,24.13,5.09
0:14:5:236, 0:14:5:248, 7.00,6.91,6.24,5.38,24.13,5.09
0:14:5:249, 0:14:5:272, 8.00,7.19,6.30,5.40,24.52,5.14
0:14:5:380, 0:14:5:381, 2.00,0.39,0.08,0.00,0.32,0.00
