HVX start time, HVX end time, total active time(ms), total pcycles(Mcycles),total Mpackets, HVX Mpackets, Total DDR read(MB), Total DDR write(MB)
0:20:45:370, 0:20:45:379, 10.00,13.26,11.75,9.25,25.57,20.61
0:20:45:406, 0:20:45:415, 10.00,13.26,11.73,9.25,25.68,20.57
0:20:45:440, 0:20:45:449, 10.00,13.25,11.77,9.26,25.85,20.73
0:20:45:473, 0:20:45:482, 10.00,13.25,11.70,9.23,25.54,20.34
0:20:45:506, 0:20:45:515, 10.00,13.26,11.79,9.24,25.69,20.55
0:20:45:542, 0:20:45:551, 10.00,13.26,11.74,9.22,25.66,20.52
0:20:45:575, 0:20:45:584, 10.00,13.26,11.74,9.24,25.75,20.61
0:20:45:607, 0:20:45:616, 10.00,13.25,11.79,9.23,25.80,20.59
0:20:45:645, 0:20:45:653, 9.00,11.93,11.41,9.26,24.31,19.54
0:20:45:679, 0:20:45:688, 10.00,13.26,11.79,9.24,25.91,20.68
0:20:45:715, 0:20:45:724, 10.00,13.26,11.75,9.24,25.57,20.50
0:20:45:750, 0:20:45:759, 10.00,13.26,11.74,9.23,25.56,20.44
0:20:45:787, 0:20:45:796, 10.00,13.26,11.82,9.23,25.41,20.29
0:20:45:823, 0:20:45:832, 10.00,13.26,11.93,9.42,26.08,20.67
0:20:45:858, 0:20:45:867, 10.00,13.26,11.77,9.27,25.79,20.67
0:20:45:896, 0:20:45:905, 10.00,13.25,11.69,9.21,25.69,20.46
0:20:45:931, 0:20:45:940, 10.00,13.25,11.77,9.24,25.71,20.56
0:20:45:964, 0:20:45:973, 10.00,13.26,11.76,9.24,25.74,20.66
0:20:45:999, 0:20:46:8, 10.00,13.25,11.73,9.22,25.88,20.60
0:20:46:35, 0:20:46:44, 10.00,13.26,11.71,9.24,25.78,20.54
0:20:46:70, 0:20:46:79, 10.00,13.25,11.75,9.24,25.75,20.64
0:20:46:106, 0:20:46:115, 10.00,13.25,11.71,9.24,25.74,20.57
0:20:46:142, 0:20:46:151, 10.00,13.26,11.80,9.24,25.66,20.53
0:20:46:179, 0:20:46:188, 10.00,13.25,11.74,9.23,25.79,20.63
0:20:46:212, 0:20:46:221, 10.00,13.26,11.67,9.24,25.44,20.33
0:20:46:250, 0:20:46:259, 10.00,13.24,11.63,9.23,25.12,20.05
0:20:46:278, 0:20:46:287, 10.00,13.26,11.66,9.23,25.43,20.32
0:20:46:315, 0:20:46:323, 9.00,11.93,11.38,9.22,24.40,19.38
0:20:46:350, 0:20:46:359, 10.00,13.26,11.69,9.23,25.43,20.29
0:20:46:385, 0:20:46:394, 10.00,13.25,11.75,9.26,25.60,20.52
0:20:46:418, 0:20:46:427, 10.00,13.26,11.69,9.24,25.55,20.38
0:20:46:454, 0:20:46:463, 10.00,13.25,11.79,9.26,25.43,20.08
0:20:46:487, 0:20:46:496, 10.00,13.25,11.68,9.21,25.56,20.36
0:20:46:520, 0:20:46:529, 10.00,13.26,11.83,9.22,25.38,20.27
0:20:46:554, 0:20:46:563, 10.00,13.26,11.74,9.23,25.71,20.58
0:20:46:589, 0:20:46:598, 10.00,13.26,11.73,9.21,25.52,20.28
0:20:46:624, 0:20:46:633, 10.00,13.26,11.74,9.23,25.86,20.55
0:20:46:658, 0:20:46:667, 10.00,13.26,11.75,9.24,25.75,20.53
0:20:46:693, 0:20:46:702, 10.00,13.26,11.69,9.24,25.56,20.32
0:20:46:725, 0:20:46:734, 10.00,13.25,11.78,9.23,25.79,20.54
0:20:46:762, 0:20:46:771, 10.00,13.26,11.73,9.25,25.69,20.54
0:20:46:802, 0:20:46:810, 9.00,11.93,11.38,9.24,24.70,19.47
0:20:46:839, 0:20:46:847, 9.00,11.93,11.39,9.25,24.40,19.49
0:20:46:868, 0:20:46:876, 10.00,13.25,11.88,9.41,25.42,20.14
0:20:46:895, 0:20:46:904, 10.00,13.26,11.80,9.28,25.80,20.81
0:20:46:927, 0:20:46:936, 10.00,13.25,11.64,9.21,25.69,20.44
0:20:46:962, 0:20:46:971, 10.00,13.26,11.74,9.25,25.64,20.57
0:20:46:997, 0:20:47:6, 10.00,13.26,11.72,9.26,25.62,20.56
0:20:47:33, 0:20:47:42, 10.00,13.26,11.81,9.23,25.77,20.60
0:20:47:69, 0:20:47:78, 10.00,13.26,11.77,9.24,25.80,20.61
0:20:47:105, 0:20:47:113, 9.00,11.93,11.37,9.23,24.37,19.45
0:20:47:134, 0:20:47:143, 10.00,13.26,11.73,9.25,25.67,20.53
0:20:47:166, 0:20:47:174, 9.00,11.93,11.37,9.24,24.41,19.46
0:20:47:200, 0:20:47:209, 10.00,13.26,11.70,9.23,25.63,20.41
0:20:47:229, 0:20:47:238, 10.00,13.25,11.80,9.27,25.84,20.82
0:20:47:258, 0:20:47:267, 10.00,13.26,11.68,9.22,25.43,20.16
0:20:47:293, 0:20:47:302, 10.00,13.26,11.76,9.24,25.71,20.62
0:20:47:329, 0:20:47:338, 10.00,13.25,11.75,9.25,25.82,20.66
0:20:47:363, 0:20:47:371, 9.00,11.93,11.37,9.23,24.26,19.39
0:20:47:403, 0:20:47:411, 9.00,11.93,11.36,9.22,24.34,19.35
0:20:47:435, 0:20:47:444, 10.00,13.26,11.69,9.22,25.57,20.35
0:20:47:463, 0:20:47:472, 10.00,13.26,11.77,9.28,25.74,20.73
0:20:47:499, 0:20:47:508, 10.00,13.26,11.72,9.22,25.71,20.52
0:20:47:527, 0:20:47:536, 10.00,13.25,11.67,9.25,25.73,20.47
0:20:47:556, 0:20:47:565, 10.00,13.26,11.78,9.24,25.71,20.50
0:20:47:593, 0:20:47:602, 10.00,13.25,11.72,9.24,25.57,20.46
0:20:47:622, 0:20:47:631, 10.00,13.26,11.68,9.23,25.65,20.35
0:20:47:657, 0:20:47:666, 10.00,13.26,11.76,9.24,25.79,20.60
0:20:47:690, 0:20:47:699, 10.00,13.26,11.71,9.24,25.68,20.53
0:20:47:726, 0:20:47:735, 10.00,13.26,11.72,9.24,25.76,20.53
0:20:47:762, 0:20:47:771, 10.00,13.26,11.67,9.23,25.55,20.31
0:20:47:795, 0:20:47:804, 10.00,13.25,11.71,9.24,25.61,20.42
0:20:47:831, 0:20:47:840, 10.00,13.26,11.72,9.24,25.67,20.56
0:20:47:866, 0:20:47:875, 10.00,13.26,11.75,9.24,25.88,20.71
0:20:47:895, 0:20:47:904, 10.00,13.26,11.77,9.27,25.82,20.63
0:20:47:930, 0:20:47:939, 10.00,13.25,11.67,9.23,25.60,20.43
0:20:47:963, 0:20:47:972, 10.00,13.26,11.70,9.23,25.72,20.46
0:20:47:997, 0:20:48:6, 10.00,13.26,11.78,9.24,25.83,20.56
0:20:48:33, 0:20:48:42, 10.00,13.26,11.74,9.24,25.79,20.63
0:20:48:61, 0:20:48:70, 10.00,13.26,11.73,9.23,25.90,20.62
0:20:48:90, 0:20:48:99, 10.00,13.25,11.71,9.23,25.72,20.51
0:20:48:125, 0:20:48:134, 10.00,13.26,11.68,9.23,25.62,20.32
0:20:48:154, 0:20:48:163, 10.00,13.25,11.76,9.23,25.52,20.29
0:20:48:190, 0:20:48:199, 10.00,13.26,11.72,9.23,25.69,20.43
0:20:48:223, 0:20:48:232, 10.00,13.26,11.70,9.24,25.62,20.48
0:20:48:251, 0:20:48:260, 10.00,13.26,11.73,9.23,25.99,20.66
0:20:48:280, 0:20:48:289, 10.00,13.26,11.69,9.24,25.54,20.39
0:20:48:316, 0:20:48:325, 10.00,13.25,11.69,9.20,25.73,20.35
0:20:48:345, 0:20:48:354, 10.00,13.25,11.74,9.25,25.82,20.62
0:20:48:373, 0:20:48:382, 10.00,13.26,11.84,9.29,25.98,20.89
0:20:48:402, 0:20:48:411, 10.00,13.26,11.71,9.23,25.69,20.55
0:20:48:441, 0:20:48:450, 10.00,13.25,11.75,9.23,25.79,20.54
0:20:48:474, 0:20:48:482, 9.00,11.93,11.39,9.24,24.40,19.44
0:20:48:505, 0:20:48:514, 10.00,13.26,11.76,9.23,25.52,20.33
0:20:48:535, 0:20:48:544, 10.00,13.26,11.74,9.22,25.71,20.42
0:20:48:569, 0:20:48:578, 10.00,13.26,11.76,9.30,25.53,20.64
0:20:48:607, 0:20:48:616, 10.00,13.26,11.71,9.23,25.80,20.60
0:20:48:638, 0:20:48:647, 10.00,13.26,11.72,9.27,25.64,20.66
0:20:48:675, 0:20:48:683, 9.00,11.93,11.37,9.23,24.32,19.37
0:20:48:710, 0:20:48:719, 10.00,13.26,11.72,9.24,25.66,20.54
0:20:48:745, 0:20:48:754, 10.00,13.26,11.66,9.24,25.46,20.33
0:20:48:781, 0:20:48:790, 10.00,13.24,11.69,9.24,25.44,20.32
0:20:48:818, 0:20:48:827, 10.00,13.26,11.72,9.27,25.34,20.40
0:20:48:855, 0:20:48:864, 10.00,13.24,11.74,9.15,25.64,20.10
0:20:48:884, 0:20:48:893, 10.00,13.25,11.64,9.22,24.99,19.96
0:20:48:922, 0:20:48:931, 10.00,13.26,11.87,9.43,25.53,20.40
0:20:48:962, 0:20:48:971, 10.00,13.25,11.73,9.23,25.70,20.59
0:20:48:996, 0:20:49:5, 10.00,13.26,11.82,9.25,25.74,20.51
0:20:49:35, 0:20:49:43, 9.00,11.93,11.42,9.27,24.35,19.65
0:20:49:71, 0:20:49:80, 10.00,13.25,11.72,9.22,25.66,20.47
0:20:49:98, 0:20:49:108, 11.00,13.57,11.88,9.24,26.04,20.51
0:20:49:137, 0:20:49:146, 10.00,13.25,11.76,9.24,25.79,20.55
0:20:49:173, 0:20:49:181, 10.00,13.26,11.83,9.24,25.69,20.61
0:20:49:208, 0:20:49:216, 9.00,11.93,11.35,9.24,24.46,19.43
0:20:49:237, 0:20:49:246, 10.00,13.26,11.80,9.24,25.81,20.68
0:20:49:271, 0:20:49:280, 10.00,13.26,11.69,9.23,25.48,20.36
0:20:49:306, 0:20:49:315, 10.00,13.25,11.76,9.24,25.81,20.73
0:20:49:341, 0:20:49:350, 10.00,13.26,11.72,9.24,25.71,20.46
0:20:49:370, 0:20:49:379, 10.00,13.25,11.73,9.24,25.68,20.53
0:20:49:407, 0:20:49:416, 10.00,13.26,11.76,9.26,25.69,20.62
0:20:49:442, 0:20:49:451, 10.00,13.26,11.73,9.23,25.72,20.59
0:20:49:480, 0:20:49:489, 10.00,13.26,11.86,9.29,25.33,20.40
0:20:49:526, 0:20:49:535, 10.00,13.26,11.68,9.24,25.67,20.46
0:20:49:579, 0:20:49:588, 10.00,13.26,11.68,9.22,25.29,20.09
0:20:49:613, 0:20:49:622, 10.00,13.27,11.61,9.23,25.08,20.02
0:20:49:650, 0:20:49:659, 10.00,13.24,11.81,9.24,25.51,20.46
0:20:49:687, 0:20:49:696, 10.00,13.26,11.62,9.24,25.26,20.16
0:20:49:725, 0:20:49:734, 10.00,13.25,11.90,9.34,25.37,20.52
0:20:49:762, 0:20:49:771, 10.00,13.25,11.71,9.23,25.39,20.29
0:20:49:795, 0:20:49:805, 11.00,14.58,12.00,9.32,25.53,20.58
0:20:49:835, 0:20:49:844, 10.00,13.26,11.72,9.23,25.20,20.06
0:20:49:869, 0:20:49:878, 10.00,13.26,11.83,9.29,25.64,20.62
0:20:49:908, 0:20:49:917, 10.00,13.26,11.78,9.25,25.59,20.50
0:20:49:956, 0:20:49:965, 10.00,13.26,11.77,9.24,25.62,20.51
0:20:49:989, 0:20:49:998, 10.00,13.25,11.82,9.25,25.46,20.43
0:20:50:26, 0:20:50:35, 10.00,13.26,11.77,9.27,25.47,20.44
0:20:50:78, 0:20:50:87, 10.00,13.26,11.81,9.28,25.36,20.35
0:20:50:113, 0:20:50:122, 10.00,13.24,11.75,9.21,25.33,20.14
0:20:50:151, 0:20:50:160, 10.00,13.26,11.82,9.25,25.22,20.19
0:20:50:187, 0:20:50:196, 10.00,13.26,11.74,9.24,25.81,20.63
